1648,5136,918,2824,3867,860,3712,2968,3525,4323,3617,4360,2756,89,442,3556,5261,2492,5062,2486,4942,2267,4809,3853,2288
,4.5,5,4.5,4,4,,5,4,5,,4,,4,3,4,,4.5,4,3.5,,,,,
,5,5,,4,4,4.5,4.5,4,5,,4,5,4.5,,4,,3.5,4,2,3.5,,,,3.5
,5,4.5,5,4.5,4.5,,5,4.5,5,5,4.5,4.5,5,3,4,5,3.5,4.5,4.5,4,3.5,4.5,3.5,3.5
,4,,,,,4.5,2,3.5,5,3.5,5,3.5,,4,4,,3.5,4.5,3.5,4,,3.5,,
4,5,3,4.5,4,2.5,,5,3,4,4,4.5,4,,1,3,1.5,4,4,2.5,3.5,,5,,3.5
3,5,,4,3,3,,0.5,3.5,5,4,4,4,5,5,5,0.5,4,4,4.5,4,5,,5,3
,5,5,,,,,0.5,4,5,,3,,5,3,,,,4,3,5,1.5,5,5,
,3,,,,4,,2.5,3.5,2,,,,,2,,4,4,,3.5,,,,4,5
,,5,5,,4.5,,3,4.5,3.5,3.5,4,4,,4,,5,4,4,4.5,5,4,,4.5,5
,5,,,4.5,,,3,4,5,,4.5,,,5,4,,5,4,4.5,3.5,,,4,3
,3.5,,5,4,4,,4.5,3.5,4,5,3,5,,4,3.5,3.5,5,4,2,4.5,3,4.5,3,4
4.5,5,5,,,4.5,,5,4,5,,3.5,4,5,5,4,5,3.5,4.5,4.5,4.5,,,,2
,,,5,,3.5,,4.5,4,,,,4,,,,3.5,,4,3,2.5,,,,3
,3.5,,,4,,4,2.5,3.5,5,,4.5,3,3.5,,3.5,,4,,2.5,3,,,,2
,5,,4,5,,5,5,4,0.5,,3,4,,5,3.5,,3.5,4.5,4,4.5,2.5,,5,4
,5,4.5,4,5,,5,4.5,4,1,,4,5,,5,3,1,4,4.5,4,4.5,,,5,4
,5,,4,5,,5,5,4,0.5,,3,4,,5,3.5,,5,5,4.5,4.5,2.5,,4,4
,,,,,,,2,,,,,,,,4.5,,,4,2,,2.5,,,
,3,,,,2.5,,2.5,4.5,,,,,4.5,3,,3.5,,4.5,2,4,,,4,
2.5,4,,,,3.5,5,5,2.5,0.5,3.5,,3.5,,,4.5,,3.5,3.5,4,,4,4,,4
,4.5,,,,,4,5,3.5,4,,,,,3,4,,4,4.5,4,,,,4.5,1.5
5,5,,5,5,4,,5,3.5,5,4,5,4,5,3,,4.5,5,4.5,4.5,4.5,3,4.5,5,3.5
4,4.5,,,4,3.5,4,5,4,5,4.5,5,4.5,5,,3.5,3.5,3.5,4.5,2.5,4.5,3,4.5,3.5,4
3,4.5,,4.5,3.5,,,5,2.5,4,,,2.5,,5,3.5,3,4,4,3,5,3,,3.5,4
,3,4,,,,,1.5,3.5,,,4.5,2.5,3,3,,3,1.5,4,4,4.5,,,,4.5
,5,,,,,,1,,5,,,,5,4,,4,3,4,5,2.5,4,4.5,4.5,
,4,,,,4,5,4.5,4,,,1,4,,4,3.5,,4.5,,1.5,4.5,3,4,2.5,5
,5,,,3,5,4,4.5,4.5,5,5,4,3,5,4,5,,,,3,4,5,5,5,5
,4,,,,,,2,,,,,,,,,,,3.5,2.5,,,,,
,,,,2.5,,,5,2.5,5,4.5,4,3,,3,2.5,4,2.5,,2,4,,,,3.5
5,5,,4,4,3.5,,5,3.5,4,3,5,4,4,3,3.5,4.5,4,,4,4.5,,,4,3.5
,5,,,,4.5,4.5,4.5,4.5,5,,3,4,,4,4,4.5,1.5,,4.5,4.5,,4,4,5
,5,,,,,,4.5,4.5,5,,,,4.5,,5,,,,4,,5,,,
,5,4.5,5,3,,,1,5,3.5,5,,3.5,4.5,,,4,3,4.5,0.5,4.5,,5,4,
3.5,3.5,4.5,,3.5,,4.5,4.5,3,5,4,,,,4,1.5,3.5,2.5,3.5,4,3.5,,,3,3
4.5,5,,,3.5,4.5,5,5,4,5,4.5,,3,5,4,3.5,3.5,3,4,4,4.5,,,2,3
3,5,,4,3,3.5,,4.5,2.5,5,3.5,5,4,4,5,4.5,0.5,3,3.5,4.5,4,5,,5,3
1.5,3.5,,,2.5,1.5,,3,3.5,5,,4,3,,3,3,2,1.5,,4,4,,,,
2.5,4.5,,,,,5,5,5,5,4.5,4.5,3,,4,5,2.5,,,3.5,5,,,4.5,3
4,4.5,5,4,3,,4.5,4.5,4,5,5,4,3,5,4,3.5,,,4.5,1,4.5,3,5,3.5,4
,2.5,,,3.5,,,1.5,4,2.5,3,,4,,,4.5,,,,3,4,3,,,3
,5,,3.5,4.5,4,,4.5,4,5,3,4.5,3.5,5,4,3.5,4.5,,5,2,4.5,5,,,5
4,3,,,4,3,,5,3,5,4.5,3,4,3.5,3,2.5,1,3,,3.5,,,3.5,,1.5
2.5,2,,,4,,4.5,4.5,3,4,4.5,3,3.5,,2,3,1,3.5,3.5,3,4.5,2.5,4,,1.5
3.5,5,,,,4.5,5,5,4.5,5,,4,4,,4,4,,4,3.5,1.5,5,,,,3
,,,,,2.5,4,5,4.5,4,,2,,,,4.5,,4,,2.5,,,,,3
,5,5,,3.5,4,5,1,3.5,,,3.5,,5,,,3.5,4,4,3.5,,,,,5
4,4,4.5,,2,3.5,3.5,3,4,5,3.5,4.5,4,,4,4.5,,3,3.5,3.5,4.5,3,5,,4
,4.5,,,3,,4.5,1.5,4,5,,,3.5,5,,4.5,2,3.5,3.5,3,4.5,,,,0.5
4,4.5,,,3,2.5,3.5,,3.5,5,,4.5,4,4,4,3,1.5,3,3.5,1.5,3.5,,,2,3
4.5,5,5,5,5,4,5,5,3.5,3.5,4,,4,4.5,5,3.5,5,4,4.5,4.5,4,3,5,4.5,4
4,4,4.5,5,2.5,2.5,5,5,4,3,4,,2.5,3.5,5,4,3,2,3,2.5,5,3,4,1.5,3.5
3,4.5,5,3,4,3,4.5,1.5,3.5,5,3.5,4,2.5,3,2,3,4.5,4,3.5,2,4.5,,4,4.5,2.5
,4,5,,,4,4.5,2.5,4.5,5,4,,4,,,,,,3.5,4,5,,,5,3
3.5,4.5,,3,4,4,,5,3.5,5,,5,4.5,,,4,4,,4,3,3.5,,,,
,4.5,,,,3,,3,,5,,,,5,5,,3.5,,,2.5,4,4,,,
,4,,,,2.5,4.5,3,4,2.5,,,3,,,3.5,,4.5,3.5,0.5,,,,,
,4,5,4,4,3,,5,3.5,0.5,4,4.5,5,,4,3,,3.5,2,0.5,5,3,,,
3,3.5,5,3,4.5,3.5,,5,3,0.5,4.5,4,5,4,3,4,0.5,3,2,0.5,2.5,,,,
,4,,3,5,5,4.5,1,4.5,5,3.5,4,4.5,5,5,4.5,3,3,4.5,4.5,3.5,5,,4,3
,4,,,4,4,,3,4.5,5,,3.5,3,,4,3.5,4,4,,3,,,,3,4.5
,4,5,4,5,4,4.5,2,3.5,3.5,3,2.5,3,4.5,3,,4.5,,,4.5,3.5,2.5,,3.5,3.5
,3.5,,,,,,5,4,,,1.5,2.5,,,,,,,3,5,,,,
,5,,,2.5,4,,2,3.5,5,,3,4,,,3.5,,2.5,3.5,2,,,,1.5,2
,5,5,4,,4.5,,1,4.5,5,,,4,,3,,5,,,4.5,,2,5,4,4.5
,4.5,5,3,5,4,5,5,3.5,1.5,4.5,3,5,3.5,3,4.5,2,3.5,3.5,3,3,,4,4,4
,4,5,4,3.5,3.5,5,4.5,3.5,,4.5,3,4,,3,4,1.5,1.5,,3,,,3.5,,3.5
,5,,2.5,3,3,,1.5,3.5,3,,4,3,,,3.5,,2.5,3.5,2,5,,4,,
,2.5,,,3.5,3,4.5,2,3,4,,2,,,1,2.5,2.5,2.5,4,2.5,4.5,,5,3.5,2.5
,4,,,3.5,5,4.5,4.5,4.5,3.5,5,3.5,5,5,2,4,2,,,3.5,4,5,4,3,3.5
4,5,5,,3,4,3.5,5,4.5,4,4,,,4.5,,4.5,5,4,3.5,3.5,,3,,,3
4.5,4,4,,,,4.5,4.5,3.5,3.5,3.5,,,,4,2.5,2,4,4,2.5,4,,4,2,4
4,3.5,4,,,,4,4.5,3,5,4.5,,3.5,,4,3,,3,3.5,2,4,,4,2.5,3.5
,5,,3.5,3,4,,5,4,5,3.5,5,5,,4,,5,,,2,5,4.5,4,,
,,,,5,,,2,3,3,4,,4,,4,3.5,5,5,4,3.5,5,2,,,3.5
,2,,,3.5,3.5,5,1,3,5,,4,4,,,3,,,4,2,,,,,2
,3,,,2,,4,4.5,2.5,3,4,,3.5,,,3,,4.5,3.5,2,4.5,,,,3
,4.5,5,4,4.5,4,,5,4,5,,4,,4,3,3.5,1,5,4.5,4.5,4.5,,,,
,4.5,5,4.5,4,3,,4.5,4,5,,4,,4,3,3,,3.5,4.5,4,2.5,,,,
3,2.5,5,4,3.5,,,4.5,3.5,5,,5,,3,3,4,,1.5,3,3,,,,,
,1,,,,,,5,4,3.5,,,3,,3,3.5,,,,3,4,,,4.5,
,,,,,4,4.5,0.5,3,1,,,4.5,,3,4,,2.5,,0.5,5,3,,,3
,,,,,,,1.5,3.5,,,,,,5,3,,4,,3,,,,3,2.5
,4.5,,,3.5,,5,2,4,,4,,4,4,5,4,0.5,3.5,4,4,2.5,4,,,4
,4,,,4,,5,5,3.5,,3.5,,4,,5,3.5,0.5,3.5,4,3,4,4,,,4.5
,3,4,,2.5,3.5,5,1,3.5,5,,2.5,4,,1,,1,1,,0.5,,,3,,1
,1.5,,,3,,,1,2.5,5,3,5,4,,,2,,1,3.5,1,4,,,,2.5
,4,,,,,4,1,3.5,3.5,,4,3,,,,,4,,2.5,3,,,2,4
,1,,,,,4,2.5,3,,,,,,3,3,3,,3.5,2.5,,2.5,,,3
,4,,,,,,2.5,4.5,,5,4,4,5,3,3.5,,,,2.5,,4,,,4
,1,,,1,4,4.5,2,4,5,,4,,,,1.5,0.5,,4,0.5,4,,,,0.5
4,5,5,3.5,4,4,,5,4.5,4,4.5,4.5,4,,3,5,4,4,,0.5,3,3,4.5,,
,,,,,,,2.5,3.5,3.5,,,3.5,,,,,3,,0.5,,,,,
,,,,,,,3.5,3.5,,,,2.5,,,,,,,3,3,,,,
5,,,,,3.5,4,5,2.5,3,4.5,,3.5,,2,3,,3.5,,2.5,5,,,,4
3.5,5,3.5,,3,3.5,4.5,5,3.5,4,,4.5,4,,,3.5,0.5,5,3.5,3,,,4.5,,3.5
3,5,,,4,3.5,,2,4,3,,4,3,,,4,,4,2,2.5,,,4,,
,4.5,,,4,,4.5,5,4,5,,4,3.5,,4,3.5,,3,4,3.5,,,,3,4
3.5,4,,,3.5,,4.5,4.5,4,5,,4.5,3.5,,4,3.5,,2,,3,4,,3.5,,4
,,,,3,3.5,4,1.5,3,2,,,4,,,,,4,,1.5,4,,,,
